sympy,scipy_equivalent,properties
Abs,,integer;real;positive;nonnegative;defined
acos,,real;positive;nonnegative;defined
asin,,real;positive;negative;nonnegative;nonpositive;defined
atan,,real;positive;negative;nonnegative;nonpositive;defined
ceiling,,integer;real;positive;negative;nonnegative;nonpositive
cos,,real;defined
cosh,,real;positive;nonnegative;defined
erf,scipy.special.erf,real;positive;negative;nonnegative;nonpositive;defined
erfc,scipy.special.erfc,real;positive;nonnegative;defined
factorial,,integer;real;positive;nonnegative;defined
floor,,integer;real;positive;negative;nonnegative;nonpositive
gamma,,integer;real;positive;nonnegative;defined
log,,real;positive;negative;nonnegative;nonpositive;defined
loggamma,,real;positive;negative;nonnegative;nonpositive;defined
sin,,real;defined
sinc,,defined
sinh,,real;defined
tan,,defined
tanh,,real;positive;negative;nonnegative;nonpositive;defined
zeta,,real;positive;negative;nonnegative;nonpositive;defined
